"Symbol Name","Pin Name","Pin CenterY","Pin CenterX","Pin Width","Pin Height"
"C-81341","29","11904.0","3840.0","0.0","0.0"
"C-81341","2","3840.0","7104.0","0.0","0.0"
"C-81341","15","6912.0","5568.0","0.0","0.0"
"C-81341","35","6912.0","2496.0","0.0","0.0"
"C-81341","57","25920.0","5568.0","0.0","0.0"
"C-81341","58","27072.0","5568.0","0.0","0.0"
"C-81341","55","23424.0","5568.0","0.0","0.0"
"C-81341","22","3840.0","3840.0","0.0","0.0"
"C-81341","10","13056.0","7104.0","0.0","0.0"
"C-81341","36","8064.0","2496.0","0.0","0.0"
"C-81341","53","21120.0","5568.0","0.0","0.0"
"C-81341","45","22848.0","7104.0","0.0","0.0"
"C-81341","9","11904.0","7104.0","0.0","0.0"
"C-81341","17","9216.0","5568.0","0.0","0.0"
"C-81341","38","10176.0","2304.0","0.0","0.0"
"C-81341","79","28032.0","2304.0","0.0","0.0"
"C-81341","46","24192.0","6912.0","0.0","0.0"
"C-81341","54","22272.0","5568.0","0.0","0.0"
"C-81341","71","18816.0","2304.0","0.0","0.0"
"C-81341","30","13056.0","3840.0","0.0","0.0"
"C-81341","62","19392.0","4032.0","0.0","0.0"
"C-81341","7","9600.0","7104.0","0.0","0.0"
"C-81341","48","26496.0","6912.0","0.0","0.0"
"C-81341","72","19968.0","2304.0","0.0","0.0"
"C-81341","3","4992.0","7104.0","0.0","0.0"
"C-81341","49","27648.0","7104.0","0.0","0.0"
"C-81341","61","18240.0","3840.0","0.0","0.0"
"C-81341","63","20736.0","4032.0","0.0","0.0"
"C-81341","73","21120.0","2304.0","0.0","0.0"
"C-81341","65","22848.0","3840.0","0.0","0.0"
"C-81341","8","10752.0","7104.0","0.0","0.0"
"C-81341","74","22272.0","2304.0","0.0","0.0"
"C-81341","4","6144.0","7104.0","0.0","0.0"
"C-81341","41","18432.0","6912.0","0.0","0.0"
"C-81341","18","10368.0","5376.0","0.0","0.0"
"C-81341","56","24768.0","5568.0","0.0","0.0"
"C-81341","70","28800.0","3840.0","0.0","0.0"
"C-81340","2","2688.0","960.0","0.0","0.0"
"C-81340","3","4224.0","960.0","0.0","0.0"
"C-81340","5","7104.0","960.0","0.0","0.0"
"C-81340","1","960.0","960.0","0.0","0.0"
"C-81340","4","5568.0","960.0","0.0","0.0"
"C-81329","3","2688.0","768.0","0.0","0.0"
"C-81329","1","768.0","768.0","0.0","0.0"
"C-81329","2","1728.0","768.0","0.0","0.0"
"C-81330","4","1920.0","1152.0","0.0","0.0"
"C-81330","7","3648.0","4992.0","0.0","0.0"
"C-81330","8","3648.0","3840.0","0.0","0.0"
"C-81330","9","3648.0","2112.0","0.0","0.0"
"C-81330","2","1920.0","6720.0","0.0","0.0"
"C-81330","10","3648.0","1152.0","0.0","0.0"
"C-81330","6","3648.0","6720.0","0.0","0.0"
"C-81330","1","1920.0","7872.0","0.0","0.0"
"C-81330","5","3648.0","7872.0","0.0","0.0"
"C-81330","3","1920.0","2112.0","0.0","0.0"
"C-60718","CAV4","-2253.0","-3550.0","0.0","0.0"
"C-60718","CAV3","2469.0","-3588.0","0.0","0.0"
"C-60718","CAV5","-3890.0","1019.0","0.0","0.0"
"C-60718","CAV2","3992.0","1019.0","0.0","0.0"
"C-60718","CAV6","-83.0","-237.0","0.0","0.0"
"C-60718","CAV1","-6.0","3799.0","0.0","0.0"
"TB-(2W-1J)x2","2-J","1638.0","-20.0","0.0","0.0"
"TB-(2W-1J)x2","1-1","-2568.0","3.0","0.0","0.0"
"TB-(2W-1J)x2","1-J","-1595.0","-20.0","0.0","0.0"
"TB-(2W-1J)x2","2-1","689.0","-20.0","0.0","0.0"
"TB-(2W-1J)x2","1-2","-600.0","-20.0","0.0","0.0"
"TB-(2W-1J)x2","2-2","2633.0","-65.0","0.0","0.0"
"C-81342","3","2880.0","7104.0","0.0","0.0"
"C-81342","5","5184.0","3072.0","0.0","0.0"
"C-81342","2","7680.0","3264.0","0.0","0.0"
"C-81342","4","2688.0","3072.0","0.0","0.0"
"C-81342","1","7680.0","7104.0","0.0","0.0"
"C-81333","A","3840.0","0.0","0.0","0.0"
"C-81333","B","5760.0","0.0","0.0","0.0"
"C-81334","19","14592.0","5376.0","0.0","0.0"
"C-81334","30","15744.0","2304.0","0.0","0.0"
"C-81334","12","3456.0","2304.0","0.0","0.0"
"C-81334","10","6912.0","3840.0","0.0","0.0"
"C-81334","29","14592.0","2304.0","0.0","0.0"
"C-81334","28","13440.0","2304.0","0.0","0.0"
"C-81334","6","2304.0","3840.0","0.0","0.0"
"C-81334","7","3456.0","3840.0","0.0","0.0"
"C-81334","25","15744.0","3840.0","0.0","0.0"
"C-81334","11","2304.0","2304.0","0.0","0.0"
"C-81334","2","3456.0","5376.0","0.0","0.0"
"C-81334","18","13440.0","5376.0","0.0","0.0"
"C-81334","17","12288.0","5376.0","0.0","0.0"
"C-81334","15","6912.0","2304.0","0.0","0.0"
"C-81334","24","14592.0","3840.0","0.0","0.0"
"C-81334","21","11136.0","3840.0","0.0","0.0"
"C-81334","23","13440.0","3840.0","0.0","0.0"
"C-81334","4","5760.0","5376.0","0.0","0.0"
"C-81334","5","6912.0","5376.0","0.0","0.0"
"C-81334","27","12288.0","2304.0","0.0","0.0"
"C-81334","16","11136.0","5376.0","0.0","0.0"
"C-81334","3","4608.0","5376.0","0.0","0.0"
"C-81334","13","4608.0","2304.0","0.0","0.0"
"C-81334","14","5760.0","2304.0","0.0","0.0"
"C-81334","8","4608.0","3840.0","0.0","0.0"
"C-81334","9","5760.0","3840.0","0.0","0.0"
